,Sentiment,TwitterID,Date,QueryType,UserID,Tweet
0,0,1969625857,Sat May 30 00:39:19 PDT 2009,NO_QUERY,miss_trouble,"mad at mommy, shes a meany "
1,4,2066572836,Sun Jun 07 10:46:24 PDT 2009,NO_QUERY,FINESSEITNOW,@cheridennis HOW YOU DOING LOVEWE NEED TO SHOOT 
2,0,2234477029,Thu Jun 18 23:07:43 PDT 2009,NO_QUERY,luckyelephantco,"@pokemonika Aaaah - I see.  Hopefully the bland-ness doesn't last much longer.  Been there, had to do that be4 I'm afraid. Feel better..."
3,0,1966731932,Fri May 29 18:17:52 PDT 2009,NO_QUERY,penguinsfan,@addriennemcc no  im going to be a sophmore next year.
4,0,2055242644,Sat Jun 06 08:58:00 PDT 2009,NO_QUERY,candibug,"I know MySpace has a bad rep, but Facebook just CRASHED FIREFOX. It is irritating me to no end. I just want to upload pictures. "
5,4,1990012544,Mon Jun 01 03:35:09 PDT 2009,NO_QUERY,PetiteMistress,"@pat_makhoul Japanese test was fail, wrote down &quot;tree. horse. fire. water. man.&quot; and left. I did ace the english test tho and saw Salah "
6,4,1964017295,Fri May 29 13:35:54 PDT 2009,NO_QUERY,SongoftheOss,"@Applecored good way to live, much respect to you "
7,4,2070088556,Sun Jun 07 17:04:33 PDT 2009,NO_QUERY,CreoleGirl24,http://twitpic.com/6vd13 - Drink #1 the get ready 4 the game drink!!!! Henn!!!!  @sdi8732 @babyredd310
8,4,2175012257,Sun Jun 14 23:52:03 PDT 2009,NO_QUERY,NikkiHami08,aww goodnight @Built4dTough 
9,4,1677131825,Sat May 02 00:35:50 PDT 2009,NO_QUERY,awneybaby,"@jennabee1 hey boo, we should def do sunday brunch, on saturday  tee hee Love you, miss you, come see jessica w/us tomorrow k?"
10,4,1688044012,Sun May 03 10:12:25 PDT 2009,NO_QUERY,jennyddxo,None of my friends have twitter? They should get one 
11,0,1984475013,Sun May 31 15:10:42 PDT 2009,NO_QUERY,R0zee,And I think it's back to kitchens for Rosie.  I need money 
12,0,2233970658,Thu Jun 18 22:12:14 PDT 2009,NO_QUERY,napstar83,I'm sad that I only have one more day to spend with all my friends in Columbus. How time does fly. 
13,4,1972366307,Sat May 30 09:05:24 PDT 2009,NO_QUERY,whippetout,Tweeting off to get some shut eye in the garden. Have fun 
14,4,1995937972,Mon Jun 01 14:16:51 PDT 2009,NO_QUERY,BeckyKingston,@JackPierce going to an advertising company - should be ok 
